Date;Buchungstext;Verwendungszweck;Saldo;Amount;Currency;Text
28/12/2018;Abschluss;;34154,19;12,13;EUR;Abschluss - 
12/12/2018;Wertpapierkauf;WP-ABRECHNUNG 0137468243001 Kauf ISIN LU0274211480 XTR.DAX 1C;34142,06;-2333,32;EUR;Wertpapierkauf - WP-ABRECHNUNG 0137468243001 Kauf ISIN LU0274211480 XTR.DAX 1C
29/12/2017;Abschluss;;36475,38;74,04;EUR;Abschluss - 
29/12/2017;Wertpapierkauf;WP-ABRECHNUNG 0122618982001 Kauf ISIN LU0360863863 ARERO-DER WELTFONDS INH.;36401,34;-1948,4;EUR;Wertpapierkauf - WP-ABRECHNUNG 0122618982001 Kauf ISIN LU0360863863 ARERO-DER WELTFONDS INH.
